排名,分拣中心,等级,综合分,枢纽度,流量度,影响力,总出现次数,作为起点,作为中转,作为终点,起点占比,中转占比,终点占比,平均深度,最小深度,最大深度,上游连接数,下游连接数,总连接数,上游集中度,最大上游站,有效下游方向数,最大下游站,日均流入货量,日均流出货量,日均经过货量,OD覆盖数,OD覆盖率,现有设备,格口数量,产能上限,角色倾向
61,A48分拣,B,34.9,11.1,69.1,19.5,190,83,16,91,43.7%,8.4%,47.9%,1.25,0,4,9,8,17,18.7%,A82分拣,8,A42分拣,30323.0,43075.0,78253.0,190,2.42%,分拣机4,85,30000,混合型
62,A43分拣,B,34.3,8.2,75.1,11.6,176,85,0,91,48.3%,0.0%,51.7%,1.19,0,4,10,8,18,42.9%,A5分拣,5,A46分拣,86984.0,29049.0,116033.0,176,2.24%,分拣机1,299,100000,末端型
63,A63分拣,B,34.3,9.5,71.4,13.6,175,84,0,91,48.0%,0.0%,52.0%,1.25,0,4,14,9,23,46.2%,A1分拣,5,A102分拣,56816.0,33770.0,90585.0,175,2.23%,分拣机4,57,30000,末端型
64,A65分拣,B,33.4,7.9,72.4,11.2,176,85,0,91,48.3%,0.0%,51.7%,1.24,0,5,10,7,17,39.6%,A73分拣,4,A15分拣,46447.0,50760.0,97207.0,176,2.24%,分拣机4,133,45000,末端型
65,A87分拣,B,33.3,9.6,67.2,13.7,179,88,0,91,49.2%,0.0%,50.8%,1.16,0,4,15,8,23,17.6%,A104分拣,6,A45分拣,46730.0,22421.0,69152.0,179,2.28%,分拣机4,77,30000,末端型
66,A81分拣,B,33.3,9.4,67.5,13.5,173,82,0,91,47.4%,0.0%,52.6%,1.14,0,4,15,8,23,34.1%,A102分拣,4,A69分拣,57268.0,12945.0,70213.0,173,2.20%,分拣机4,61,30000,末端型
67,A100分拣,B,32.8,7.4,71.5,10.5,176,85,0,91,48.3%,0.0%,51.7%,1.25,0,4,11,4,15,20.9%,A101分拣,4,A82分拣,42802.0,48660.0,91463.0,176,2.24%,分拣机6,73,30000,末端型
68,A22分拣,B,32.8,8.4,68.5,13.3,182,85,6,91,46.7%,3.3%,50.0%,1.28,0,4,9,5,14,58.8%,A18分拣,5,A18分拣,57831.0,16205.0,75011.0,182,2.32%,分拣机1,263,100000,混合型
69,A90分拣,B,32.0,7.9,66.6,11.2,175,84,0,91,48.0%,0.0%,52.0%,1.26,0,4,16,1,17,61.5%,A1分拣,1,A1分拣,66382.0,147.0,66529.0,175,2.23%,分拣机4,78,30000,末端型
70,A50分拣,B,31.7,6.8,68.7,9.6,173,82,0,91,47.4%,0.0%,52.6%,1.23,0,4,9,4,13,25.3%,A64分拣,4,A42分拣,46429.0,29592.0,76021.0,173,2.20%,分拣机1,379,100000,末端型
71,A40分拣,B,31.1,7.4,64.6,10.4,175,84,0,91,48.0%,0.0%,52.0%,1.23,0,4,7,8,15,50.5%,A18分拣,6,A56分拣,41813.0,16421.0,58233.0,175,2.23%,分拣机4,119,30000,末端型
72,A44分拣,B,30.7,6.0,67.1,8.4,173,82,0,91,47.4%,0.0%,52.6%,1.37,0,4,7,3,10,37.4%,A64分拣,3,A42分拣,37668.0,30722.0,68390.0,173,2.20%,分拣机6,78,30000,末端型
73,A78分拣,B,30.6,6.9,64.2,9.7,176,85,0,91,48.3%,0.0%,51.7%,1.28,0,4,9,4,13,54.9%,A73分拣,3,A15分拣,40603.0,16083.0,56686.0,176,2.24%,分拣机4,89,30000,末端型
74,A41分拣,B,30.6,6.3,65.9,8.8,173,82,0,91,47.4%,0.0%,52.6%,1.3,0,4,8,3,11,34.1%,A64分拣,3,A17分拣,41641.0,21539.0,63180.0,173,2.20%,分拣机6,94,30000,末端型
75,A85分拣,B,30.4,7.8,60.6,11.9,183,88,4,91,48.1%,2.2%,49.7%,1.41,0,5,7,6,13,32.6%,A61分拣,4,A9分拣,36361.0,7634.0,44878.0,183,2.33%,分拣机4,79,30000,混合型
76,A12分拣,B,30.3,6.0,65.4,8.4,173,82,0,91,47.4%,0.0%,52.6%,1.34,0,4,7,3,10,46.2%,A42分拣,3,A42分拣,34826.0,26519.0,61345.0,173,2.20%,分拣机6,102,30000,末端型
77,A32分拣,C,30.0,6.1,63.9,8.4,175,84,0,91,48.0%,0.0%,52.0%,1.32,0,4,6,4,10,40.7%,A62分拣,4,A62分拣,42773.0,12878.0,55650.0,175,2.23%,分拣机4,76,30000,末端型
78,A71分拣,C,29.6,5.6,63.7,7.8,179,88,0,91,49.2%,0.0%,50.8%,1.41,0,5,4,4,8,40.7%,A61分拣,4,A86分拣,31954.0,22775.0,54729.0,179,2.28%,分拣机4,79,30000,末端型
79,A67分拣,C,29.4,5.0,64.6,6.9,175,84,0,91,48.0%,0.0%,52.0%,1.3,0,4,5,1,6,45.1%,A2分拣,1,A10分拣,50341.0,7762.0,58103.0,175,2.23%,分拣机4,80,30000,末端型
80,A96分拣,C,29.1,6.7,58.7,9.3,178,87,0,91,48.9%,0.0%,51.1%,1.44,0,5,6,6,12,48.4%,A61分拣,5,A9分拣,30491.0,8957.0,39448.0,178,2.27%,分拣机4,78,30000,末端型
81,A79分拣,C,29.0,6.4,59.3,8.9,176,85,0,91,48.3%,0.0%,51.7%,1.25,0,4,8,3,11,38.5%,A73分拣,2,A15分拣,29974.0,11048.0,41023.0,176,2.24%,分拣机4,84,30000,末端型
